subcategory_id,category_id,en,bg,hr,cs,da,nl,et,fi,fr,de,el,hu,ga,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,tr,ru,uk,nb,no,icon,sort_order_subcategory,__match_score
SUB_000693,CAT_00604,Temporary Walls or Booths,Временни стени или кабини,Privremeni zidovi ili kabine,Dočasné stěny nebo budky,Midlertidige vægge eller kabiner,Tijdelijke muren of cabines,Ajutised seinad või kabiinid,Väliaikaiset seinät tai kopit,Murs ou cabines temporaires,Temporäre Wände oder Kabinen,Προσωρινοί τοίχοι ή θάλαμοι,Ideiglenes falak vagy fülkék,Ballaí Sealadacha nó Bothanna,Pareti o cabine temporanee,Pagaidu sienas vai kabīnes,Laikinos sienos arba kabinos,Ħitan Temporanji jew Kabini,Tymczasowe ściany lub stoiska,Paredes ou cabines temporárias,Pereți sau cabine temporare,Dočasné steny alebo búdky,Začasne stene ali kabine,Muros o cabinas temporales,Tillfälliga väggar eller bås,Geçici Duvarlar veya Kabinler,Временные стены или будки,Тимчасові стіни або будки,Midlertidige vegger eller boder,Midlertidige vegger eller boder,,,0.56
SUB_000694,CAT_00015,Club DJ,Клубен диджей,Klub DJ,Klubový DJ,Klub DJ,Club-DJ,Klubi DJ,Klubin DJ,DJ de club,Club-DJ,Club DJ,Klub DJ,DJ club,DJ da discoteca,Kluba dīdžejs,Klubo DJ,DJ tal-Każin,DJ klubowy,DJ do clube,Club DJ,Klubový DJ,Klubski DJ,DJ de club,Klubb DJ,Kulüp DJ'i,Клубный диджей,Клубний діджей,Klubb DJ,Klubb DJ,,,0.4
SUB_000695,CAT_00266,Live Band,Група на живо,Bend uživo,Živá kapela,Live Band,Liveband,Live bänd,Live Bändi,Groupe de musique live,Live-Band,Ζωντανή μπάντα,Élő zenekar,Banna Beo,Band dal vivo,Dzīvā grupa,Gyva grupė,Banda Live,Zespół na żywo,Banda ao vivo,Trupa Live,Živá kapela,Skupina v živo,Banda en vivo,Liveband,Canlı Grup,Живая группа,Живий оркестр,Live Band,Live Band,,,0.5454545454545454
SUB_000696,CAT_00588,Wedding DJ,Сватбен диджей,DJ za vjenčanje,Svatební DJ,Bryllups DJ,Bruiloft DJ,Pulma DJ,Hää DJ,DJ de mariage,Hochzeits-DJ,DJ γάμου,Esküvői DJ,DJ bainise,DJ per matrimoni,Kāzu dīdžejs,Vestuvių DJ,DJ tat-tieġ,DJ weselny,DJ de casamento,DJ nunta,Svadobný DJ,Poročni DJ,DJ de bodas,Bröllops DJ,Düğün DJ'i,Свадебный диджей,Весільний діджей,Bryllups DJ,Bryllups DJ,,,0.6
SUB_000697,CAT_00047,Emergency Exits Planning,Планиране на аварийни изходи,Planiranje izlaza u nuždi,Plánování nouzových východů,Planlægning af nødudgange,Nooduitgangplanning,Avariiväljapääsude planeerimine,Hätäuloskäyntien suunnittelu,Planification des issues de secours,Planung von Notausgängen,Σχεδιασμός Εξόδων Έκτακτης Ανάγκης,Vészkijáratok tervezése,Pleanáil Amach Éigeandála,Pianificazione delle uscite di emergenza,Avārijas izeju plānošana,Avarinių išėjimų planavimas,Ippjanar ta' Ħruġ ta' Emerġenza,Planowanie wyjść awaryjnych,Planejamento de Saídas de Emergência,Planificarea ieșirilor de urgență,Plánovanie núdzových východov,Načrtovanje zasilnih izhodov,Planificación de salidas de emergencia,Planering av nödutgångar,Acil Çıkış Planlaması,Планирование аварийных выходов,Планування аварійних виходів,Planlegging av nødutganger,Planlegging av nødutganger,,,0.6842105263157895
SUB_000698,CAT_00407,First Aid Station Setup,Настройка на станция за първа помощ,Postavljanje stanice prve pomoći,Nastavení stanice první pomoci,Opsætning af førstehjælpsstation,Inrichting van het EHBO-station,Esmaabijaama seadistamine,Ensiapuaseman asetukset,Installation d'un poste de premiers secours,Einrichtung einer Erste-Hilfe-Station,Ρύθμιση σταθμού πρώτων βοηθειών,Elsősegélynyújtó állomás beállítása,Socrú Stáisiúin Garchabhrach,Allestimento della stazione di pronto soccorso,Pirmās palīdzības stacijas iestatīšana,Pirmosios pagalbos stoties nustatymas,Setup tal-Istazzjon tal-Ewwel Għajnuna,Przygotowanie stanowiska pierwszej pomocy,Configuração do posto de primeiros socorros,Instalarea stației de prim ajutor,Nastavenie stanice prvej pomoci,Postavitev postaje prve pomoči,Configuración del puesto de primeros auxilios,Installation av första hjälpen station,İlk Yardım İstasyonu Kurulumu,Организация пункта первой помощи,Налаштування станції першої допомоги,Oppsett av førstehjelpsstasjon,Oppsett av førstehjelpsstasjon,,,0.5365853658536586
SUB_000699,CAT_00542,Medical Staff Coordination,Координация на медицинския персонал,Koordinacija medicinskog osoblja,Koordinace zdravotnického personálu,Koordinering af medicinsk personale,Coördinatie van medisch personeel,Meditsiinitöötajate koordineerimine,Hoitohenkilökunnan koordinointi,Coordination du personnel médical,Koordination des medizinischen Personals,Συντονισμός Ιατρικού Προσωπικού,Az egészségügyi személyzet koordinációja,Comhordú Foirne Míochaine,Coordinamento del personale medico,Medicīniskā personāla koordinācija,Medicinos personalo koordinavimas,Koordinazzjoni tal-Persunal Mediku,Koordynacja personelu medycznego,Coordenação de Equipe Médica,Coordonarea personalului medical,Koordinácia zdravotníckeho personálu,Koordinacija medicinskega osebja,Coordinación del personal médico,Medicinsk personalkoordination,Tıbbi Personel Koordinasyonu,Координация медицинского персонала,Координація медперсоналу,Koordinering av medisinsk personell,Koordinering av medisinsk personell,,,0.6956521739130435
SUB_000700,CAT_00357,Dancers or Performers,Танцьори или изпълнители,Plesači ili izvođači,Tanečníci nebo umělci,Dansere eller performere,Dansers of artiesten,Tantsijad või esinejad,Tanssijat tai esiintyjät,Danseurs ou interprètes,Tänzer oder Darsteller,Χορευτές ή Ερμηνευτές,Táncosok vagy előadók,Rinceoirí nó Taibheoirí,Ballerini o artisti,Dejotāji vai izpildītāji,Šokėjai ar atlikėjai,Żeffiena jew Artisti,Tancerze lub wykonawcy,Dançarinos ou artistas,Dansatori sau interpreți,Tanečníci alebo umelci,Plesalci ali izvajalci,Bailarines o artistas,Dansare eller artister,Dansçılar veya Performansçılar,Танцоры или исполнители,Танцюристи або виконавці,Dansere eller utøvere,Dansere eller utøvere,,,0.5416666666666666
SUB_000701,CAT_00220,Karaoke Setup,Настройка на караоке,Postavljanje karaoka,Nastavení karaoke,Karaoke opsætning,Karaoke-opstelling,Karaoke seadistamine,Karaoken asetukset,Configuration du karaoké,Karaoke-Einrichtung,Ρύθμιση καραόκε,Karaoke beállítás,Suiteáil karaoke,Configurazione Karaoke,Karaoke iestatīšana,Karaoke sąranka,Setup tal-karaoke,Konfiguracja karaoke,Configuração de karaokê,Configurare Karaoke,Nastavenie karaoke,Nastavitev karaok,Configuración de karaoke,Karaoke inställning,Karaoke Kurulumu,Установка караоке,Налаштування караоке,Karaoke oppsett,Karaoke oppsett,,,0.72
SUB_000702,CAT_00023,Live Acts,Актове на живо,Live Acts,Živé akty,Live Acts,Live-acts,Live Acts,Live Acts,Actes en direct,Live-Acts,Ζωντανές Πράξεις,Élő fellépések,Gníomhartha Beo,Spettacoli dal vivo,Live Acts,Gyvi aktai,Atti Ħajjin,Występy na żywo,Atos ao vivo,Acte Vii,Živé akty,Live Acts,Actuaciones en vivo,Live Acts,Canlı Performanslar,Живые выступления,Живі виступи,Live Acts,Live Acts,,,0.5714285714285714
SUB_000703,CAT_00662,Magicians,Магьосници,mađioničari,Kouzelníci,tryllekunstnere,Magiërs,Mustkunstnikud,Taikurit,magiciens,Zauberer,Μάγοι,Bűvészek,Magicians,Maghi,Burvji,Magai,Magicians,Magicy,Mágicos,Magicieni,Kúzelníci,Čarovniki,magos,Magiker,Sihirbazlar,Волшебники,Чарівники,Magikere,Magikere,,,0.5217391304347826
SUB_000704,CAT_00334,Check-In Support,Поддръжка при настаняване,Podrška za prijavu,Podpora odbavení,Check-in support,Check-in ondersteuning,Sisseregistreerimise tugi,Sisäänkirjautumistuki,Assistance à l'enregistrement,Check-In-Unterstützung,Υποστήριξη για check-in,Bejelentkezési támogatás,Tacaíocht Seiceáil Isteach,Supporto per il check-in,Reģistrēšanās atbalsts,Registracijos palaikymas,Appoġġ għall-Check-In,Wsparcie odprawy,Suporte de check-in,Asistență pentru check-in,Podpora registrácie,Podpora pri prijavi,Soporte para el check-in,Support för incheckning,Check-In Desteği,Поддержка регистрации,Підтримка реєстрації,Innsjekkingsstøtte,Innsjekkingsstøtte,,,0.7142857142857143
SUB_000705,CAT_00542,Guest List Coordination,Координиране на списъка с гости,Koordinacija popisa gostiju,Koordinace seznamu hostů,Koordinering af gæsteliste,Coördinatie van de gastenlijst,Külaliste nimekirja koordineerimine,Vieraslistan koordinointi,Coordination de la liste des invités,Gästelistenkoordination,Συντονισμός λίστας επισκεπτών,Vendéglista koordinálása,Comhordú Liosta Aoi,Coordinamento della lista degli ospiti,Viesu saraksta koordinēšana,Svečių sąrašo koordinavimas,Koordinazzjoni tal-Lista tal-Mistednin,Koordynacja listy gości,Coordenação da Lista de Convidados,Coordonarea listei de invitați,Koordinácia zoznamu hostí,Usklajevanje seznama gostov,Coordinación de lista de invitados,Samordning av gästlistan,Misafir Listesi Koordinasyonu,Координация списка гостей,Узгодження списку гостей,Koordinering av gjesteliste,Koordinering av gjesteliste,,,0.6976744186046512
SUB_000706,CAT_00065,Invitation Management,Управление на покани,Upravljanje pozivnicama,Správa pozvánek,Invitationshåndtering,Uitnodigingsbeheer,Kutsehaldus,Kutsujen hallinta,Gestion des invitations,Einladungsmanagement,Διαχείριση προσκλήσεων,Meghíváskezelés,Bainistíocht Cuireadh,Gestione degli inviti,Ielūgumu pārvaldība,Kvietimų valdymas,Ġestjoni tal-istedina,Zarządzanie zaproszeniami,Gerenciamento de convites,Managementul invitațiilor,Správa pozvánok,Upravljanje povabil,Gestión de invitaciones,Inbjudningshantering,Davetiye Yönetimi,Управление приглашениями,Управління запрошеннями,Invitasjonsbehandling,Invitasjonsbehandling,,,0.7619047619047619
SUB_000707,CAT_00254,Private Parties,Частни партита,Privatne zabave,Soukromé večírky,Private Fester,Privéfeesten,Erapeod,Yksityiset osapuolet,Fêtes privées,Private Feiern,Ιδιωτικά κόμματα,Magánfelek,Páirtithe Príobháideacha,Feste private,Privātās ballītes,Privatūs vakarėliai,Partijiet Privati,Prywatne imprezy,Festas Privadas,Petreceri private,Súkromné večierky,Zasebne zabave,Fiestas privadas,Privata fester,Özel Partiler,Частные вечеринки,Приватні вечірки,Private parter,Private parter,,,0.6451612903225806
SUB_000708,CAT_00047,Wedding Planning,Планиране на сватба,Planiranje vjenčanja,Plánování svatby,Bryllupsplanlægning,Bruiloftplanning,Pulmade planeerimine,Häiden suunnittelu,Planification de mariage,Hochzeitsplanung,Σχεδιασμός Γάμου,Esküvői tervezés,Pleanáil Bainise,Organizzazione di matrimoni,Kāzu plānošana,Vestuvių planavimas,Ippjanar tat-tieġ,Planowanie ślubu,Planejamento de casamento,Planificarea nunții,Plánovanie svadby,Načrtovanje poroke,Planificación de bodas,Bröllopsplanering,Düğün Planlaması,Планирование свадьбы,Планування весілля,Bryllupsplanlegging,Bryllupsplanlegging,,,0.7333333333333333
SUB_000709,CAT_00101,Post-Party Cleaning,Почистване след парти,Čišćenje nakon zabave,Úklid po večírku,Rengøring efter fest,Schoonmaak na het feest,Peojärgne puhastus,Juhlien jälkeinen siivous,Nettoyage après la fête,Reinigung nach der Party,Καθαρισμός μετά το πάρτι,Party utáni takarítás,Glanadh Iar-Pháirtí,Pulizia post-festa,Tīrīšana pēc ballītēm,Valymas po vakarėlio,Tindif ta’ wara l-Partit,Sprzątanie po imprezie,Limpeza pós-festa,Curățenie după petrecere,Upratovanie po večierkoch,Čiščenje po zabavi,Limpieza posterior a la fiesta,Städning efter fest,Parti Sonrası Temizlik,Уборка после вечеринки,Прибирання після вечірки,Rengjøring etter fest,Rengjøring etter fest,,,0.631578947368421
SUB_000710,CAT_00434,Tent Disassembly,Демонтаж на палатка,Demontaža šatora,Demontáž stanu,Demontering af telt,Tent demontage,Telgi lahtivõtmine,Teltan purkaminen,Démontage de la tente,Zeltabbau,Αποσυναρμολόγηση σκηνής,Sátor szétszerelése,Tent Disassembly,Smontaggio della tenda,Telts demontāža,Palapinės išmontavimas,Żarmar tinda,Demontaż namiotu,Desmontagem da Tenda,Demontarea cortului,Demontáž stanu,Demontaža šotora,Desmontaje de la tienda de campaña,Demontering av tält,Çadır Sökümü,Разборка палатки,Розбирання намету,Demontering av telt,Demontering av telt,,,0.6470588235294118
SUB_000711,CAT_00524,Trash Collection,Събиране на боклука,Skupljanje smeća,Sběr odpadků,Affaldssamling,Afvalinzameling,Prügikogu,Roskakorikokoelma,Collecte des ordures,Müllabfuhr,Συλλογή σκουπιδιών,Szemétgyűjtemény,Bailiúchán Bruscar,Raccolta dei rifiuti,Miskastes kolekcija,Šiukšlių rinkimas,Ġbir ta’ Trash,Zbiórka śmieci,Coleta de lixo,Colectarea gunoiului,Zber odpadu,Zbiranje smeti,Recolección de basura,Papperskorgen samling,Çöp Toplama,Сбор мусора,Збір сміття,Søppelsamling,Søppelsamling,,,0.6666666666666666
SUB_000712,CAT_00588,Equipment Backup Coordination,Координиране на резервното оборудване,Koordinacija rezervne opreme,Koordinace zálohování zařízení,Koordinering af udstyrsbackup,Coördinatie van apparatuurback-up,Seadmete varundamise koordineerimine,Varustuksen varmuuskopiointi,Coordination de la sauvegarde de l'équipement,Koordination der Gerätesicherung,Συντονισμός δημιουργίας αντιγράφων ασφαλείας εξοπλισμού,Berendezések biztonsági mentésének koordinálása,Comhordú Cúltaca Trealamh,Coordinamento del backup delle apparecchiature,Aprīkojuma rezerves koordinēšana,Įrangos atsarginės kopijos koordinavimas,Koordinazzjoni tal-Backup tat-Tagħmir,Koordynacja zapasowego sprzętu,Coordenação de Backup de Equipamentos,Coordonarea Backup-ului echipamentelor,Koordinácia zálohovania zariadení,Usklajevanje rezervne opreme,Coordinación de respaldo de equipos,Utrustning Backup Coordination,Ekipman Yedekleme Koordinasyonu,Координация резервного копирования оборудования,Координація резервного копіювання обладнання,Koordinering av sikkerhetskopiering av utstyr,Koordinering av sikkerhetskopiering av utstyr,,,0.6530612244897959
SUB_000713,CAT_00220,Internet Setup,Интернет настройка,Postavljanje Interneta,Nastavení internetu,Internetopsætning,Internet-instellingen,Interneti seadistamine,Internet-asetukset,Configuration Internet,Internet-Setup,Ρύθμιση Διαδικτύου,Internet beállítása,Socrú Idirlín,Configurazione Internet,Interneta iestatīšana,Interneto sąranka,Setup tal-Internet,Konfiguracja Internetu,Configuração da Internet,Configurare Internet,Nastavenie internetu,Nastavitev interneta,Configuración de Internet,Internetinstallation,İnternet Kurulumu,Настройка Интернета,Налаштування Інтернету,Internett-oppsett,Internett-oppsett,,,0.6153846153846154
SUB_000714,CAT_00401,Live Stream Troubleshooting,Отстраняване на неизправности при предаване на живо,Rješavanje problema sa prijenosom uživo,Odstraňování problémů s živým přenosem,Fejlfinding af livestream,Problemen met livestreams oplossen,Otseülekande tõrkeotsing,Live-lähetyksen vianetsintä,Dépannage de la diffusion en direct,Fehlerbehebung beim Live-Stream,Αντιμετώπιση προβλημάτων ζωντανής ροής,Élő közvetítés hibaelhárítása,Fabhtcheartú Sruth Beo,Risoluzione dei problemi di streaming live,Tiešraides straumes problēmu novēršana,Tiesioginio srauto trikčių šalinimas,Issolvi l-problemi Live Stream,Rozwiązywanie problemów z transmisją na żywo,Solução de problemas de transmissão ao vivo,Depanarea fluxului live,Riešenie problémov so živým prenosom,Odpravljanje težav s prenosom v živo,Solución de problemas de transmisión en vivo,Felsökning för livestreaming,Canlı Yayın Sorun Giderme,Устранение неполадок в прямой трансляции,Усунення несправностей прямої трансляції,Feilsøking for direktesending,Feilsøking for direktesending,,,0.7346938775510204
SUB_000715,CAT_00129,Equipment Delivery,Доставка на оборудване,Isporuka opreme,Dodávka vybavení,Levering af udstyr,Levering van apparatuur,Seadmete kohaletoimetamine,Laitteiden toimitus,Livraison d'équipement,Lieferung der Ausrüstung,Παράδοση εξοπλισμού,Berendezés szállítás,Seachadadh Trealaimh,Consegna dell'attrezzatura,Aprīkojuma piegāde,Įrangos pristatymas,Kunsinna ta' Tagħmir,Dostawa sprzętu,Entrega de equipamentos,Livrarea echipamentelor,Dodávka vybavenia,Dostava opreme,Entrega de equipos,Utrustning leverans,Ekipman Teslimatı,Доставка оборудования,Доставка обладнання,Levering av utstyr,Levering av utstyr,,,0.5652173913043478
SUB_000716,CAT_00543,Guest Transportation,Транспорт за гости,Prijevoz gostiju,Přeprava hostů,Gæstetransport,Gastenvervoer,Külaliste transport,Vieraskuljetus,Transport des invités,Gästetransport,Μεταφορά επισκεπτών,Vendégszállítás,Iompar Aoi,Trasporto ospiti,Viesu transportēšana,Svečių pervežimas,Trasport mistieden,Transport gości,Transporte de Convidados,Transport oaspeți,Preprava hostí,Prevoz gostov,Transporte de invitados,Gästtransport,Misafir Taşımacılığı,Транспорт для гостей,Перевезення гостей,Gjestetransport,Gjestetransport,,,0.7027027027027027
SUB_000717,CAT_00588,Parking Coordination,Координация на паркирането,Koordinacija parkiranja,Koordinace parkování,Parkeringskoordinering,Parkeercoördinatie,Parkimise koordineerimine,Pysäköintikoordinointi,Coordination du stationnement,Parkplatzkoordination,Συντονισμός στάθμευσης,Parkolási koordináció,Comhordú Páirceála,Coordinamento parcheggi,Autostāvvietas koordinēšana,Parkavimo koordinavimas,Koordinazzjoni tal-Parkeġġ,Koordynacja parkingowa,Coordenação de Estacionamento,Coordonarea parcării,Koordinácia parkovania,Usklajevanje parkiranja,Coordinación de estacionamiento,Parkeringssamordning,Park Koordinasyonu,Координация парковки,Узгодження паркування,Parkeringskoordinering,Parkeringskoordinering,,,0.8
SUB_000718,CAT_00252,Group Sessions,Групови сесии,Grupne sesije,Skupinové relace,Gruppesessioner,Groepssessies,Grupiseansid,Ryhmäistunnot,Séances de groupe,Gruppensitzungen,Ομαδικές Συνεδρίες,Csoportos foglalkozások,Seisiúin Ghrúpa,Sessioni di gruppo,Grupu sesijas,Grupiniai užsiėmimai,Sessjonijiet tal-Grupp,Sesje grupowe,Sessões em grupo,Sesiuni de grup,Skupinové relácie,Skupinske seje,Sesiones grupales,Gruppsessioner,Grup Oturumları,Групповые занятия,Групові заняття,Gruppeøkter,Gruppeøkter,,,0.6
SUB_000719,CAT_00243,One-on-One Training,Индивидуално обучение,Trening jedan na jedan,Školení jeden na jednoho,En-til-en træning,Eén-op-één training,Üks-ühele koolitus,Yksittäinen koulutus,Formation individuelle,Einzeltraining,Εκπαίδευση ένας προς έναν,Egyéni képzés,Oiliúint Duine-ar-Aon,Formazione individuale,Apmācība viens pret vienu,Mokymai vienas prieš vieną,Taħriġ One-on-One,Szkolenia indywidualne,Treinamento Individual,Instruire unu-la-unu,Tréning jeden na jedného,Usposabljanje ena na ena,Entrenamiento personalizado,En-mot-en utbildning,Birebir Eğitim,Индивидуальное обучение,Індивідуальне навчання,En-til-en opplæring,En-til-en opplæring,,,0.6486486486486487
SUB_000720,CAT_00276,Yoga Coaching,Йога коучинг,Treniranje joge,Koučování jógy,Yoga Coaching,Yogacoaching,Jooga juhendamine,Jooga Coaching,Coaching de yoga,Yoga Coaching,Yoga Coaching,Jóga Coaching,Oiliúint Yoga,Coaching Yoga,Jogas apmācība,Jogos koučingas,Yoga Coaching,Coaching jogi,Coaching de Yoga,Coaching yoga,Koučovanie jogy,Treniranje joge,Entrenamiento de yoga,Yoga Coaching,Yoga Koçluğu,Тренировки по йоге,Тренування йоги,Yoga coaching,Yoga coaching,,,0.7142857142857143
SUB_000721,CAT_00218,Centerpieces,Централни елементи,Središnji dijelovi,Středové díly,Midterstykker,Tafelstukken,Keskosad,Keskipisteet,Centres de table,Tafelaufsätze,Κεντρικά κομμάτια,Középpontok,Lárphíosaí,Centrotavola,Centrālie elementi,Centriniai elementai,Centerpieces,Centralne elementy,Centros de mesa,Piese centrale,Stredové diely,Osrednji deli,Centros de mesa,Centerpieces,Orta parçalar,Центральные элементы,Центральні елементи,Senterstykker,Senterstykker,,,0.7142857142857143
SUB_000722,CAT_00358,Chair Covers & Backdrops,Калъфи и фонове за столове,Navlake i pozadine za stolice,Potahy na židle a pozadí,Stolebetræk og baggrunde,Stoelhoezen en achtergronden,Tooli katted ja taustad,Tuolinpäälliset ja taustat,Housses de chaises et toiles de fond,Stuhlhussen & Hintergründe,Καλύμματα καρέκλας & σκηνικά,Székhuzatok és hátterek,Clúdaigh Chathaoirleach & Cúlra,Coprisedie e fondali,Krēslu pārvalki un foni,Kėdžių užvalkalai ir fonai,Qoxra tas-siġġijiet u Sfondi,Pokrowce na krzesła i tła,Capas para cadeiras e cenários,Huse pentru scaune și fundal,Poťahy na stoličky a pozadia,Prevleke za stole in ozadja,Fundas para sillas y telones de fondo,Stolsöverdrag och bakgrunder,Sandalye Kılıfları ve Arka Planlar,Чехлы для стульев и фоны,Чохли та фони для стільців,Stoltrekk og bakgrunner,Stoltrekk og bakgrunner,,,0.4897959183673469
SUB_000723,CAT_00268,Themed Decorations,Тематични декорации,Tematski ukrasi,Tématické dekorace,Tema dekorationer,Thematische decoraties,Temaatilised kaunistused,Teemalliset koristeet,Décorations thématiques,Thematische Dekorationen,Θεματικές Διακοσμήσεις,Tematikus dekorációk,Maisiúcháin Téamacha,Decorazioni a tema,Tematiskie rotājumi,Teminiai papuošimai,Dekorazzjonijiet b'Tema,Dekoracje tematyczne,Decorações temáticas,Decoratiuni tematice,Tematické dekorácie,Tematski okraski,Decoraciones temáticas,Temadekorationer,Temalı Dekorasyonlar,Тематические украшения,Тематичні прикраси,Temadekorasjoner,Temadekorasjoner,,,0.6666666666666666
SUB_000724,CAT_00207,Name Tags & Lanyards,Етикети с имена и въжета,Oznake s imenima i vezice,Jmenovky a šňůrky,Navneskilte og snore,Naamlabels en lanyards,Nimesildid ja kaelapaelad,Nimilaput ja kaulanauhat,Étiquettes nominatives et cordons,Namensschilder & Schlüsselbänder,Ετικέτες ονομάτων και κορδόνια,Névcímkék és zsinórok,Ainm Clibeanna & Lanyards,Etichette identificative e cordini,Vārdu birkas un štropes,Vardų etiketės ir dirželiai,Tikketti tal-Ismijiet u Kurduni,Identyfikatory i smycze,Etiquetas de nome e cordões,Etichete de nume și șnururi,Menovky a šnúrky,Imenske oznake in vrvice,Etiquetas de nombre y cordones,Namnskyltar och linor,İsim Etiketleri ve Boyun Askıları,Именные бирки и шнурки,Іменні бирки та шнурки,Navnelapper og snorer,Navnelapper og snorer,,,0.5555555555555556
SUB_000725,CAT_00002,Printed Invitations,Печатни покани,Tiskane pozivnice,Tištěné pozvánky,Trykte invitationer,Gedrukte uitnodigingen,Trükitud kutsed,Painetut kutsut,Invitations imprimées,Gedruckte Einladungen,Έντυπες Προσκλήσεις,Nyomtatott meghívók,Cuirí Clóbhuailte,Inviti stampati,Drukāti ielūgumi,Spausdinti kvietimai,Stediniet Stampati,Zaproszenia drukowane,Convites impressos,Invitații tipărite,Vytlačené pozvánky,Tiskana vabila,Invitaciones impresas,Tryckta inbjudningar,Baskılı Davetiyeler,Печатные приглашения,Друковані запрошення,Trykte invitasjoner,Trykte invitasjoner,,,0.6
SUB_000726,CAT_00149,Welcome Boards / Signage,Табла за добре дошли / табели,Ploče / natpisi dobrodošlice,Uvítací nástěnky / nápisy,Velkomsttavler / skiltning,Welkomstborden / Borden,Tervitustahvlid / sildid,Tervetuloa taulut / kyltit,Panneaux de bienvenue / Signalétique,Willkommenstafeln / Beschilderung,Πίνακες υποδοχής / Σήμανση,Üdvözlő táblák / táblák,Boird Fáilte / Comharthaíocht,Cartelli di benvenuto / segnaletica,Sveiciena dēļi / izkārtnes,Sveikinimo lentos / ženklai,Merħba Bordijiet / Sinjali,Tablice powitalne / oznakowanie,Placas de boas-vindas / sinalização,Panouri de bun venit / semnalizare,Uvítacie nástenky / nápisy,Dobrodošli table/oznake,Tableros de bienvenida / Señalización,Välkomstbrädor/skyltar,Hoş Geldiniz Panoları / Tabelalar,Приветственные таблички / вывески,Вітальні дошки / вивіски,Velkomsttavler / skilting,Velkomsttavler / skilting,,,0.5531914893617021
SUB_000727,CAT_00220,Hybrid Event Setup,Настройка на хибридно събитие,Postavljanje hibridnog događaja,Nastavení hybridní události,Hybrid hændelsesopsætning,Hybride evenementopstelling,Hübriidsündmuse seadistamine,Hybriditapahtuman asetukset,Configuration d'un événement hybride,Hybrid-Event-Setup,Ρύθμιση υβριδικού συμβάντος,Hibrid esemény beállítása,Socrú Imeachta Hibrideach,Configurazione di eventi ibridi,Hibrīda notikumu iestatīšana,Hibridinio įvykio sąranka,Setup ta' Avveniment Ibridu,Konfiguracja zdarzeń hybrydowych,Configuração de evento híbrido,Configurare eveniment hibrid,Nastavenie hybridnej udalosti,Nastavitev hibridnega dogodka,Configuración de evento híbrido,Hybrid Event Setup,Hibrit Etkinlik Kurulumu,Гибридная настройка событий,Налаштування гібридної події,Hybrid hendelsesoppsett,Hybrid hendelsesoppsett,,,0.6
SUB_000728,CAT_00313,Microphone Setup for Events,Настройка на микрофона за събития,Postavljanje mikrofona za događaje,Nastavení mikrofonu pro události,Mikrofonopsætning til begivenheder,Microfoonopstelling voor evenementen,Mikrofoni seadistamine sündmuste jaoks,Mikrofonin asetukset tapahtumia varten,Configuration du microphone pour les événements,Mikrofon-Setup für Events,Ρύθμιση μικροφώνου για εκδηλώσεις,Mikrofon beállítása eseményekhez,Socrú micreafón le haghaidh Imeachtaí,Configurazione del microfono per eventi,Mikrofona iestatīšana pasākumiem,Mikrofono sąranka renginiams,Setup tal-mikrofonu għal Avvenimenti,Konfiguracja mikrofonu na wydarzenia,Configuração de microfone para eventos,Configurarea microfonului pentru evenimente,Nastavenie mikrofónu pre udalosti,Nastavitev mikrofona za dogodke,Configuración de micrófonos para eventos,Mikrofoninställning för evenemang,Etkinlikler için Mikrofon Kurulumu,Настройка микрофона для мероприятий,Налаштування мікрофона для подій,Mikrofonoppsett for arrangementer,Mikrofonoppsett for arrangementer,,,0.5416666666666666
SUB_000729,CAT_00542,Zoom/Teams Coordination,Zoom/Координация на екипи,Zoom/Koordinacija timova,Zoom/Koordinace týmů,Zoom/Teams koordinering,Zoom/Teams-coördinatie,Suumi/meeskondade koordineerimine,Zoom/Tiimien koordinointi,Coordination Zoom/Équipes,Zoom/Teams-Koordination,Ζουμ/Συντονισμός ομάδων,Zoom/Teams Koordináció,Comhordú Zoom/Foirne,Coordinamento Zoom/Teams,Tālummaiņa/komandu koordinācija,Mastelio keitimas / Komandų koordinavimas,Koordinazzjoni Zoom/Timijiet,Koordynacja Zoom/Teams,Coordenação Zoom/Equipes,Zoom/Coordonarea echipelor,Zoom/Koordinácia tímov,Zoom/usklajevanje ekip,Coordinación de Zoom/Teams,Zoom/lagkoordination,Zoom/Takım Koordinasyonu,Координация Zoom/команд,Zoom/Координація команд,Zoom/teamkoordinering,Zoom/teamkoordinering,,,0.6976744186046512
